Informe de términos de búsqueda
26 de marzo de 2026 - 24 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Agregadas/excluidas,Campaña,Grupo de anuncios,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Tipo de campaña,Porcentaje de conv.,Conversiones,Costo/conv.
redacción y traducción,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
reglas gramaticales,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corregir ortografía y gramática,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
estrategias para escribir un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
coherencia y cohesion,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editor y corrector de estilo,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
texto gramatical,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de libros,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,1,10,10.00%,COP,713.00,713.00,Búsqueda,0.00%,0.00,0.00
punto coma,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editor de libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,6,16.67%,COP,535.00,535.00,Búsqueda,0.00%,0.00,0.00
metodo mapea roger domingo,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
autocorrector,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,2,1,200.00%,COP,1369.28,2738.56,Búsqueda,0.00%,0.00,0.00
cuando usar punto y coma,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
quiero publicar,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
inspiracion para escribir libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
ias para escritores,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cuando se coloca punto y coma,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editores de libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,3,21,14.29%,COP,2674.33,8023.00,Búsqueda,0.00%,0.00,0.00
escritores escritores escritores,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escribir una novela,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
un escrito,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,4,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corregir texto,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
detector de comas,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de estilo para tesis,Concordancia de frase,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
correctores de estilo,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,4,33,12.12%,COP,1499.43,5997.73,Búsqueda,0.00%,0.00,0.00
páginas para escribir,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editor de libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,3,44,6.82%,COP,1158.67,3476.00,Búsqueda,33.33%,1.00,3476.00
ortografia y redaccion,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,7,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editoriales para libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
libros para escribir mejor,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,5,20.00%,COP,88.00,88.00,Búsqueda,0.00%,0.00,0.00
para escribir cuentos cortos,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
correcciones de estilo,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,1,8,12.50%,COP,552.00,552.00,Búsqueda,0.00%,0.00,0.00
corrector de estilo de escritura,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
narrativo,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editor de texto,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
acomodar un texto,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
texto con faltas ortograficas,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
write,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
mejora tu ortografía,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cuenta para escribir,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editoriales que reciben manuscritos,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escritores escritores,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,15,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editorial escritores noveles,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
arregla el texto,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
ortografía,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,10,298,3.36%,COP,1033.20,10332.05,Búsqueda,10.00%,1.00,10332.05
narrativas en palabras,Concordancia amplia,Excluido,Jun-2025,Grupo de anuncios 1,3,51,5.88%,COP,197.00,591.00,Búsqueda,0.00%,0.00,0.00
rephrase,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
regla ortográfica,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
qué es disertación,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
revisar redacción,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
donde se utiliza el punto y coma,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
redaccion y ortografia,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,5,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrige las palabras,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
donde puedo escribir un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,5,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
book edits,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escribir un poema,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
genero narrativo,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,7,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
mala redaccion,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
empresas editoriales,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cómo corregir la ortografía,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corregir ortografía,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,3,16,18.75%,COP,600.00,1800.00,Búsqueda,0.00%,0.00,0.00
cómo escribir correctamente,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,11,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de estilo y ortografia,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,15,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
para corregir ortografia,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,1,2,50.00%,COP,956.00,956.00,Búsqueda,0.00%,0.00,0.00
macroestructura,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escritura tecnica,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
agentes literarios que aceptan manuscritos,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
mystilus,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,11,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
correcto ortografía,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,1,8,12.50%,COP,990.00,990.00,Búsqueda,0.00%,0.00,0.00
me puedes corregir esto,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
publicación de libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
mal escritas,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cómo redacto,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editing,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
concurso de libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
